timestamp_board_ms,timestamp_server_ms,seq_id,lat,lon,alt_m,rssi_dbm,gnss_fix_type,hpl_m
52200,53790,1190,51.109153,17.041422,120.8,-110,2,8.97
52634,53479,1191,51.109156,17.041428,120.9,-114,3,9.1
52987,55025,1192,51.109177,17.041458,118.9,-124,3,11.17
53376,55322,1193,51.109202,17.041476,120.2,-113,3,15.67
53766,55490,1194,51.109189,17.041482,119.2,-111,3,6.47
54168,54891,1195,51.109208,17.041515,119.9,-106,2,12.19
54569,57149,1200,51.109212,17.041519,119.0,-114,3,7.87
54965,57326,1201,51.109221,17.04153,119.8,-107,3,15.22
55383,57994,1202,51.109243,17.041546,119.1,-108,3,10.18
55772,58488,1203,51.109242,17.041557,120.6,-115,3,15.18
56161,59931,1204,51.109263,17.041582,118.8,-113,2,13.79
56500,61064,1205,51.109274,17.041588,119.8,-98,2,11.33
56879,66150,1208,51.109272,17.041592,118.7,-106,2,11.75
57348,61056,1209,51.10929,17.041616,120.3,-107,3,17.47
57725,59753,1210,51.109294,17.041634,121.1,-122,2,9.69
58170,61986,1211,51.109292,17.04164,120.4,-115,2,8.17
58551,61458,1212,51.109319,17.041665,121.1,-121,3,11.8
58958,68218,1215,51.109328,17.041684,119.8,-104,3,8.1
59309,62314,1216,51.109328,17.041698,120.5,-105,3,14.06
59673,62563,1220,51.109348,17.041708,119.9,-108,2,7.15
60026,62844,1221,51.109342,17.041726,119.4,-103,2,17.85
60476,62197,1222,51.109378,17.041733,119.2,-108,2,6.95
60858,62989,1223,51.109375,17.041761,120.1,-116,3,8.8
61198,64201,1224,51.109375,17.041781,120.3,-104,3,13.94
61600,63195,1225,51.1094,17.041796,119.8,-117,2,7.16
62032,65490,1226,51.109402,17.041808,120.1,-118,3,17.12
62409,65156,1227,51.109418,17.041804,119.3,-115,3,15.38
62753,66008,1228,51.109408,17.041828,120.7,-118,3,12.19
63141,66311,1229,51.109444,17.041848,120.5,-114,3,16.42
63535,65060,1230,51.109438,17.041867,120.4,-108,2,17.71
63962,64882,1233,51.109462,17.041867,120.3,-115,3,15.9
64314,66766,1234,51.109457,17.041894,119.6,-110,3,16.51
64759,69745,1238,51.109487,17.041904,119.7,-113,2,17.94
65142,67017,1239,51.109479,17.041918,119.4,-114,2,14.31
65555,70458,1240,51.109483,17.041922,119.8,-106,2,11.11
65991,67975,1241,51.109511,17.041945,120.0,-106,2,10.99
66374,69410,1242,51.109516,17.041963,120.5,-120,2,8.89
66773,75857,1247,51.109521,17.041984,119.0,-116,2,16.38
67203,70112,1248,51.109534,17.041997,120.1,-109,2,7.23
67597,69507,1249,51.109546,17.041989,119.9,-112,3,15.9
68007,70064,1250,51.109554,17.042018,119.9,-105,2,17.86
68396,71077,1254,51.109557,17.04203,120.4,-120,2,15.3
68833,71520,1256,51.109569,17.042054,120.2,-112,2,12.18
69226,71462,1257,51.10959,17.042067,119.1,-112,3,9.87
69671,72925,1259,51.109604,17.042075,118.4,-108,2,10.06
70088,72710,1260,51.109602,17.042087,120.7,-114,2,16.64
70482,73325,1261,51.109628,17.042118,120.9,-113,3,14.74
70857,74998,1264,51.109627,17.042118,120.0,-101,2,14.22
71301,73083,1265,51.109646,17.042144,119.3,-108,2,7.82
71665,73752,1266,51.109647,17.042151,119.5,-104,3,16.58
72026,76608,1267,51.10966,17.042178,118.2,-107,3,14.25
72432,75197,1268,51.109671,17.042187,121.0,-107,3,15.08
72823,74187,1269,51.10968,17.0422,119.7,-104,2,7.65
73252,75310,1270,51.109686,17.042216,120.1,-101,2,8.71
73700,79828,1271,51.109698,17.042234,121.0,-117,3,14.95
74110,75805,1272,51.109695,17.042254,120.7,-115,2,15.62
74523,75777,1273,51.109715,17.04227,120.7,-119,3,17.89
74932,75982,1274,51.109738,17.042273,119.0,-107,3,14.37
75250,76735,1275,51.109738,17.042291,119.2,-111,3,6.6
75640,78013,1276,51.109739,17.042317,119.8,-106,3,10.45
76045,78213,1277,51.109751,17.042332,119.4,-111,3,10.15
76447,79717,1281,51.109761,17.042344,119.0,-121,3,17.78
76807,87026,1282,51.109778,17.04235,119.6,-111,2,7.37
77213,81994,1283,51.109785,17.042369,119.7,-118,3,14.67
77610,79069,1284,51.109795,17.042379,121.6,-119,3,16.2
78028,86275,1285,51.109799,17.042393,119.4,-111,3,11.51
78451,82350,1289,51.109819,17.042426,120.3,-117,2,17.36
78824,81395,1290,51.109818,17.042422,118.3,-119,2,15.58
79220,80637,1291,51.109831,17.042437,120.7,-115,2,10.28
79585,82894,1292,51.109853,17.042461,119.1,-111,2,12.69
80061,82739,1293,51.109852,17.042481,119.5,-112,3,15.84
80435,85198,1294,51.109867,17.042491,119.4,-112,2,14.7
80852,83770,1299,51.109872,17.042504,121.1,-110,2,16.3
81242,81984,1300,51.109895,17.042514,120.8,-112,2,11.93
81624,88048,1302,51.109898,17.042549,118.7,-110,2,13.37
82036,85055,1303,51.109907,17.042541,120.4,-114,2,6.05
82429,84109,1304,51.109918,17.042559,121.2,-114,2,6.82
82823,85696,1305,51.109931,17.042575,119.1,-110,3,6.0
83205,84291,1306,51.109927,17.042593,119.8,-113,3,11.75
83626,85474,1309,51.109943,17.042601,120.9,-108,3,15.66
84045,85948,1310,51.10995,17.042608,119.8,-109,2,7.16
84413,85677,1311,51.109979,17.042637,119.9,-106,3,8.22
84815,86628,1312,51.109975,17.042655,120.5,-116,3,13.19
85220,89595,1313,51.10999,17.042672,121.1,-128,2,11.22
85683,86913,1314,51.110009,17.042675,120.0,-104,3,8.85
86148,88307,1315,51.110009,17.042693,120.2,-111,3,12.08
86534,87172,1316,51.109998,17.042706,119.5,-113,2,13.33
86924,88452,1317,51.110036,17.042727,120.5,-110,2,9.52
87327,92659,1319,51.110043,17.042742,119.5,-110,2,14.11
87715,88938,1320,51.110048,17.042748,120.8,-108,3,9.1
88139,91447,1321,51.110045,17.042775,119.3,-107,3,13.95
88532,92547,1322,51.110059,17.042794,120.2,-105,2,13.75
88897,91306,1323,51.110066,17.042807,120.7,-109,3,12.36
89271,91527,1324,51.110083,17.042829,119.9,-107,3,8.59
89651,96614,1326,51.110102,17.042844,119.8,-119,2,15.47
89996,91579,1327,51.110114,17.04284,121.2,-123,3,14.47
90383,92976,1329,51.110098,17.042873,119.6,-110,2,6.08
90819,93384,1330,51.110141,17.042878,120.3,-102,2,8.01
91186,93117,1333,51.110132,17.042892,120.2,-122,3,7.39
91621,94616,1334,51.110149,17.042898,120.1,-112,2,10.08
92068,94857,1335,51.110165,17.042913,119.3,-113,2,9.11
92408,96167,1336,51.110167,17.042918,119.8,-118,2,13.51
92816,96933,1337,51.110184,17.042953,119.5,-100,2,10.74
93223,96400,1338,51.110186,17.04297,119.7,-105,2,15.49
93619,94806,1339,51.110198,17.042971,119.3,-112,3,13.06
94001,99475,1340,51.11023,17.042998,120.2,-124,3,16.39
94413,100287,1341,51.110213,17.043012,120.8,-105,3,6.75
94832,97529,1342,51.110222,17.043022,120.3,-112,3,14.67
95266,97010,1343,51.11023,17.043039,120.7,-117,3,6.11
95702,96713,1345,51.110246,17.04307,119.4,-110,3,7.25
96116,96904,1346,51.11027,17.043067,120.3,-105,3,6.07
96511,97420,1347,51.110259,17.043086,120.8,-109,3,8.53
96896,98475,1348,51.110272,17.0431,118.9,-111,3,12.59
97313,98754,1349,51.110294,17.043121,121.8,-112,3,12.66
97689,98979,1350,51.110281,17.043127,121.2,-108,2,17.0
98099,99458,1353,51.110305,17.043141,120.9,-115,2,14.48
98504,99779,1355,51.110323,17.043148,119.0,-110,3,17.32
98881,101827,1356,51.110321,17.043171,120.3,-111,3,16.13
99275,101980,1357,51.110332,17.043192,118.6,-115,3,17.33
99602,101958,1358,51.110354,17.043206,120.3,-112,2,13.61
100050,101702,1359,51.110352,17.043228,120.6,-106,3,13.77
100461,101857,1361,51.110374,17.043231,120.5,-117,3,10.74
100834,101862,1362,51.110376,17.043241,119.1,-122,3,6.18
101208,106124,1367,51.110389,17.043267,119.6,-113,3,16.53
101557,103527,1368,51.110392,17.043281,119.4,-114,3,12.9
101949,103057,1369,51.110395,17.043306,121.5,-119,3,8.68
102366,110292,1370,51.110421,17.043301,120.6,-109,2,15.96
102775,105400,1371,51.110444,17.043329,120.0,-115,2,14.06
103238,106349,1372,51.110451,17.043349,121.2,-106,3,8.46
103624,107656,1373,51.110445,17.043368,119.3,-106,2,13.71
104028,105935,1374,51.110457,17.043372,119.6,-109,2,8.76
104407,109494,1375,51.110466,17.043387,118.9,-108,3,12.56
104805,109513,1376,51.110481,17.043384,120.5,-110,2,17.94
105213,106681,1377,51.110485,17.043416,118.8,-127,3,12.27
105597,107299,1378,51.110501,17.043437,119.9,-108,2,14.38
106028,108011,1379,51.110513,17.043452,120.3,-116,2,11.5
106441,109772,1380,51.110498,17.043459,120.4,-106,3,6.55
106822,110610,1381,51.110513,17.043506,118.8,-115,3,6.01
107200,109974,1382,51.110532,17.043503,118.5,-122,3,17.91
107575,111330,1383,51.110551,17.043493,121.4,-118,2,14.63
107969,110632,1384,51.110554,17.043528,120.4,-106,3,10.81
108326,111054,1385,51.110557,17.043527,121.1,-117,3,6.39
108722,113185,1386,51.110585,17.043548,120.0,-115,3,12.19
109116,112695,1387,51.110604,17.043579,119.3,-101,3,6.74
109545,111722,1388,51.110588,17.043588,121.1,-105,3,10.99
109927,113655,1389,51.110602,17.043587,119.6,-115,2,17.99
110291,112904,1390,51.110601,17.043614,118.6,-119,3,6.25
110681,120223,1391,51.110624,17.04364,120.2,-109,3,7.56
111044,113197,1392,51.110637,17.043641,119.9,-113,2,16.21
111405,112557,1394,51.110653,17.043639,119.9,-105,3,17.37
111828,113930,1399,51.110652,17.043674,119.3,-110,3,16.12
112237,119486,1400,51.110676,17.043691,119.8,-125,2,11.79
112668,118548,1401,51.110671,17.043706,119.9,-106,2,6.85
113068,115619,1402,51.110681,17.043708,119.7,-115,2,6.24
113464,117123,1403,51.110703,17.043731,119.5,-110,2,10.27
113868,116210,1404,51.110712,17.043752,121.1,-107,2,15.37
114280,116449,1405,51.110715,17.043763,120.3,-109,2,12.57
114639,117643,1406,51.110725,17.043784,121.1,-116,3,12.2
115014,118131,1407,51.110738,17.043807,119.5,-119,3,6.82
115417,116835,1408,51.110753,17.043824,119.6,-103,2,12.76
115767,118423,1409,51.110747,17.043828,121.0,-112,3,8.56
116171,117948,1410,51.110764,17.043844,119.3,-108,2,17.28
116546,120193,1411,51.110792,17.043856,120.2,-112,3,9.92
116861,120264,1412,51.110789,17.043876,120.4,-100,3,8.45
117240,118663,1417,51.110793,17.043886,120.4,-101,3,14.07
117642,121389,1418,51.110795,17.043892,120.0,-109,3,14.86
118046,121847,1419,51.110817,17.043922,120.5,-122,2,16.74
118405,122042,1420,51.110839,17.043924,120.7,-115,2,13.79
118784,121189,1421,51.110835,17.043957,119.2,-107,2,15.17
119175,121204,1422,51.110848,17.043955,119.5,-107,3,14.22
119577,120463,1423,51.110859,17.043968,120.8,-124,2,15.94
